platform;year;annual_subscribers;revenue;content_spend;profit
netflix;2011;21600000;3100000000;;225000000
netflix;2012;30360000;3500000000;;17000000
netflix;2013;41430000;4300000000;;112000000
netflix;2014;54480000;5400000000;;266000000
netflix;2015;70840000;6700000000;;122000000
netflix;2016;89090000;8800000000;6880000000;188000000
netflix;2017;110640000;11600000000;8910000000;560000000
netflix;2018;139260000;15700000000;12000000000;1211000000
netflix;2019;167090000;20100000000;13900000000;1867000000
netflix;2020;203660000;24900000000;11800000000;2761000000
netflix;2021;222200000;29490000000;17000000000;5116000000
disney_plus;2020;73300000;2800000000;;
disney_plus;2021;118100000;5200000000;;
amazon_prime_video;2019;90000000;14400000000;;
amazon_prime_video;2020;125000000;21000000000;;
amazon_prime_video;2021;175000000;27737500000;;